event_type,start_date,end_date,depth,EVENT_NUMBER,EVENT_CAT,EVENT_DURATION,EVENT_ONSET_RATE,EVENT_DECLINE_RATE,EVENT_INTENSITY_MEAN,EVENT_INTENSITY_MAX,EVENT_INTENSITY_VAR,EVENT_INTENSITY_CUMULATIVE,EVENT_INTENSITY_MEAN_RELPERC,EVENT_INTENSITY_MAX_RELPERC,EVENT_INTENSITY_VAR_RELPERC,EVENT_INTENSITY_CUMULATIVE_RELPERC
MHW,2010-04-28 12:00:00,2010-05-30 12:00:00,2,1.0,2.0,33.0,0.492,0.089,2.726,3.947,0.729,89.945,1.226,2.434,0.729,40.464
MHW,2011-01-30 12:00:00,2011-02-04 12:00:00,2,2.0,1.0,6.0,0.225,0.159,1.587,1.965,0.265,9.524,0.351,0.718,0.253,2.104
MHW,2011-04-11 12:00:00,2011-04-15 12:00:00,2,3.0,1.0,5.0,2.504,0.171,2.114,2.504,0.202,10.568,0.614,1.02,0.212,3.068
MHW,2011-06-23 12:00:00,2011-06-27 12:00:00,2,4.0,1.0,5.0,0.474,0.179,1.808,1.963,0.113,9.04,0.353,0.504,0.11,1.763
MHW,2011-07-04 12:00:00,2011-07-11 12:00:00,2,5.0,1.0,8.0,0.158,0.414,2.204,2.563,0.374,17.636,0.744,1.107,0.374,5.955
MHW,2012-07-18 12:00:00,2012-07-23 12:00:00,2,6.0,1.0,6.0,0.169,0.411,1.687,1.831,0.097,10.119,0.199,0.344,0.097,1.196
MHW,2013-08-29 12:00:00,2013-09-03 12:00:00,2,7.0,1.0,6.0,0.36,0.145,1.382,1.576,0.167,8.291,0.236,0.403,0.158,1.418
MHW,2013-09-22 12:00:00,2013-09-30 12:00:00,2,8.0,3.0,9.0,2.814,0.302,2.963,3.89,0.424,26.667,1.816,2.767,0.436,16.347
MHW,2013-10-04 12:00:00,2013-10-15 12:00:00,2,9.0,3.0,12.0,0.225,0.842,2.756,3.657,0.506,33.074,1.551,2.457,0.516,18.616
MHW,2013-10-20 12:00:00,2013-10-27 12:00:00,2,10.0,1.0,8.0,0.116,1.559,1.432,1.559,0.09,11.454,0.267,0.37,0.09,2.133
MHW,2014-04-14 12:00:00,2014-04-18 12:00:00,2,11.0,1.0,5.0,1.815,0.067,1.704,1.815,0.086,8.519,0.183,0.302,0.088,0.914
MHW,2014-04-27 12:00:00,2014-05-09 12:00:00,2,12.0,1.0,13.0,0.148,2.885,2.546,2.885,0.209,33.103,1.034,1.364,0.198,13.443
MHW,2014-05-13 12:00:00,2014-05-20 12:00:00,2,13.0,1.0,8.0,2.385,0.097,1.987,2.385,0.251,15.894,0.494,0.838,0.223,3.955
MHW,2014-05-28 12:00:00,2014-06-03 12:00:00,2,14.0,2.0,7.0,3.012,0.307,2.548,3.012,0.301,17.835,1.086,1.534,0.291,7.603
MHW,2014-11-12 12:00:00,2014-11-16 12:00:00,2,15.0,1.0,5.0,0.02,0.203,1.313,1.334,0.016,6.563,0.107,0.122,0.012,0.534
MHW,2015-02-07 12:00:00,2015-02-16 12:00:00,2,16.0,1.0,10.0,0.869,0.112,2.17,2.395,0.218,21.7,0.826,1.097,0.251,8.26
MHW,2015-08-16 12:00:00,2015-08-20 12:00:00,2,17.0,1.0,5.0,2.015,0.249,1.837,2.015,0.104,9.183,0.468,0.615,0.086,2.342
MHW,2015-09-04 12:00:00,2015-09-08 12:00:00,2,18.0,2.0,5.0,0.402,2.709,2.249,2.709,0.358,11.243,1.184,1.653,0.367,5.919
MHW,2015-09-29 12:00:00,2015-10-06 12:00:00,2,19.0,2.0,8.0,0.3,3.494,2.641,3.494,0.403,21.129,1.447,2.277,0.392,11.579
MHW,2015-10-10 12:00:00,2015-10-22 12:00:00,2,20.0,2.0,13.0,0.501,0.204,2.295,2.972,0.447,29.829,1.122,1.772,0.43,14.585
MHW,2016-01-26 12:00:00,2016-02-23 12:00:00,2,21.0,1.0,29.0,0.053,0.412,1.83,2.461,0.273,53.068,0.511,0.991,0.281,14.812
MHW,2016-06-07 12:00:00,2016-06-16 12:00:00,2,22.0,2.0,10.0,0.21,0.644,2.329,3.041,0.371,23.287,0.882,1.604,0.378,8.822
MHW,2016-06-20 12:00:00,2016-06-27 12:00:00,2,23.0,1.0,8.0,2.326,0.192,1.88,2.326,0.212,15.041,0.42,0.854,0.207,3.359
MHW,2016-08-05 12:00:00,2016-08-28 12:00:00,2,24.0,2.0,24.0,0.292,0.133,2.144,3.315,0.6,51.456,0.758,1.874,0.566,18.196
MHW,2016-09-01 12:00:00,2016-09-07 12:00:00,2,25.0,1.0,7.0,0.257,0.106,1.235,1.628,0.183,8.642,0.145,0.508,0.164,1.017
MHW,2016-09-20 12:00:00,2016-10-01 12:00:00,2,26.0,3.0,12.0,0.401,0.655,2.357,4.039,0.881,28.287,1.212,2.887,0.873,14.542
MHW,2016-10-07 12:00:00,2016-10-23 12:00:00,2,27.0,2.0,17.0,0.99,0.119,1.882,3.0,0.537,31.995,0.702,1.779,0.523,11.931
MHW,2016-12-04 12:00:00,2016-12-08 12:00:00,2,28.0,1.0,5.0,0.328,0.13,1.552,1.702,0.113,7.762,0.381,0.524,0.116,1.907
MHW,2017-04-17 12:00:00,2017-04-25 12:00:00,2,29.0,1.0,9.0,0.491,0.132,1.879,2.399,0.242,16.911,0.383,0.881,0.231,3.445
MHW,2017-06-29 12:00:00,2017-07-10 12:00:00,2,30.0,1.0,12.0,2.505,0.086,2.062,2.505,0.276,24.746,0.604,1.058,0.279,7.245
MHW,2017-07-18 12:00:00,2017-08-06 12:00:00,2,31.0,1.0,20.0,1.144,0.057,2.013,2.601,0.299,40.255,0.509,1.113,0.302,10.186
MHW,2017-08-29 12:00:00,2017-09-05 12:00:00,2,32.0,1.0,8.0,2.136,0.169,1.615,2.136,0.243,12.922,0.487,0.946,0.24,3.895
MHW,2017-12-22 12:00:00,2017-12-26 12:00:00,2,33.0,1.0,5.0,0.241,0.333,1.52,1.619,0.12,7.601,0.321,0.427,0.115,1.605
