event_type,start_date,end_date,depth,EVENT_NUMBER,EVENT_CAT,EVENT_DURATION,EVENT_ONSET_RATE,EVENT_DECLINE_RATE,EVENT_INTENSITY_MEAN,EVENT_INTENSITY_MAX,EVENT_INTENSITY_VAR,EVENT_INTENSITY_CUMULATIVE,EVENT_INTENSITY_MEAN_RELPERC,EVENT_INTENSITY_MAX_RELPERC,EVENT_INTENSITY_VAR_RELPERC,EVENT_INTENSITY_CUMULATIVE_RELPERC
MHW,2012-01-11 12:00:00,2012-01-31 12:00:00,2,1.0,3.0,21.0,0.134,0.374,2.137,3.09,0.556,44.871,1.18,2.124,0.559,24.778
MHW,2012-02-05 12:00:00,2012-03-22 12:00:00,2,2.0,2.0,47.0,0.12,0.058,1.568,2.623,0.351,73.711,0.614,1.6,0.336,28.868
MHW,2012-04-06 12:00:00,2012-04-19 12:00:00,2,3.0,1.0,14.0,0.23,0.083,1.276,1.542,0.159,17.858,0.339,0.609,0.149,4.744
MHW,2012-04-23 12:00:00,2012-05-01 12:00:00,2,4.0,1.0,9.0,0.398,0.141,1.267,1.508,0.15,11.402,0.359,0.584,0.146,3.235
MHW,2012-05-17 12:00:00,2012-05-23 12:00:00,2,5.0,2.0,7.0,0.304,0.223,1.268,1.668,0.246,8.878,0.454,0.857,0.248,3.181
MHW,2012-06-11 12:00:00,2012-06-15 12:00:00,2,6.0,1.0,5.0,0.059,0.128,0.968,1.054,0.055,4.84,0.077,0.159,0.053,0.385
MHW,2012-12-27 12:00:00,2013-01-19 12:00:00,2,7.0,2.0,24.0,0.373,0.094,1.623,2.728,0.442,38.964,0.605,1.648,0.414,14.514
MHW,2013-02-10 12:00:00,2013-02-16 12:00:00,2,8.0,2.0,7.0,0.327,0.379,1.477,2.208,0.352,10.339,0.443,1.173,0.351,3.101
MHW,2013-02-24 12:00:00,2013-03-10 12:00:00,2,9.0,1.0,15.0,0.062,0.087,1.099,1.53,0.139,16.489,0.146,0.58,0.14,2.189
MHW,2013-04-17 12:00:00,2013-04-22 12:00:00,2,10.0,1.0,6.0,1.594,0.11,1.374,1.594,0.142,8.243,0.419,0.638,0.14,2.513
MHW,2013-05-02 12:00:00,2013-05-06 12:00:00,2,11.0,1.0,5.0,0.504,0.116,1.077,1.232,0.122,5.385,0.247,0.393,0.124,1.233
MHW,2013-06-26 12:00:00,2013-07-03 12:00:00,2,12.0,2.0,8.0,0.274,0.249,1.405,1.932,0.314,11.242,0.461,0.984,0.318,3.691
MHW,2013-07-14 12:00:00,2013-07-18 12:00:00,2,13.0,1.0,5.0,0.694,0.167,1.067,1.399,0.17,5.335,0.228,0.547,0.166,1.139
MHW,2013-07-27 12:00:00,2013-08-04 12:00:00,2,14.0,1.0,9.0,0.344,0.056,1.005,1.18,0.14,9.048,0.301,0.448,0.156,2.711
MHW,2013-12-13 12:00:00,2013-12-18 12:00:00,2,15.0,2.0,6.0,0.551,0.279,1.631,2.232,0.381,9.788,0.609,1.213,0.372,3.652
MHW,2014-04-10 12:00:00,2014-04-14 12:00:00,2,16.0,1.0,5.0,0.147,0.186,1.188,1.273,0.063,5.939,0.25,0.331,0.064,1.249
