Year,Month,Day,Rainfall amount (millimetres)
2024,1,1,0
2024,1,2,0
2024,1,3,0
2024,1,4,0.2
2024,1,5,0
2024,1,6,0.2
2024,1,7,0
2024,1,8,21
2024,1,9,2
2024,1,10,0.2
2024,1,11,0
2024,1,12,0
2024,1,13,1.8
2024,1,14,0
2024,1,15,0
2024,1,16,0
2024,1,17,0
2024,1,18,23
2024,1,19,8
2024,1,20,0
2024,1,21,0.2
2024,1,22,3.2
2024,1,23,0.2
2024,1,24,0.4
2024,1,25,0.4
2024,1,26,0
2024,1,27,0
2024,1,28,0
2024,1,29,0
2024,1,30,0
2024,1,31,0
2024,2,1,0
2024,2,2,0
2024,2,3,0
2024,2,4,0
2024,2,5,0.2
2024,2,6,0
2024,2,7,0
2024,2,8,0
2024,2,9,0
2024,2,10,0
2024,2,11,0
2024,2,12,0
2024,2,13,0
2024,2,14,2.4
2024,2,15,0
2024,2,16,0
2024,2,17,0
2024,2,18,0
2024,2,19,0.2
2024,2,20,0
2024,2,21,0
2024,2,22,0
2024,2,23,0
2024,2,24,0
2024,2,25,0
2024,2,26,0
2024,2,27,0
2024,2,28,0
2024,2,29,1.8
2024,3,1,0
2024,3,2,0
2024,3,3,0
2024,3,4,0.2
2024,3,5,0
2024,3,6,0
2024,3,7,0
2024,3,8,0
2024,3,9,0
2024,3,10,0
2024,3,11,7.8
2024,3,12,0
2024,3,13,0
2024,3,14,0
2024,3,15,0
2024,3,16,0
2024,3,17,0
2024,3,18,0
2024,3,19,0
2024,3,20,5.2
2024,3,21,0.6
2024,3,22,0.8
2024,3,23,0
2024,3,24,0
2024,3,25,0
2024,3,26,0
2024,3,27,0
2024,3,28,0
2024,3,29,0
2024,3,30,0
2024,3,31,0
2024,4,1,0
2024,4,2,6.6
2024,4,3,10.8
2024,4,4,0
2024,4,5,0
2024,4,6,0
2024,4,7,6.2
2024,4,8,0.2
2024,4,9,0
2024,4,10,0
2024,4,11,0.8
2024,4,12,0
2024,4,13,0
2024,4,14,0
2024,4,15,0
2024,4,16,0
2024,4,17,0
2024,4,18,0
2024,4,19,1.8
2024,4,20,0
2024,4,21,0
2024,4,22,0
2024,4,23,0
2024,4,24,5.8
2024,4,25,0
2024,4,26,0
2024,4,27,0
2024,4,28,0
2024,4,29,0
2024,4,30,0
2024,5,1,1.4
2024,5,2,0
2024,5,3,0
2024,5,4,1.4
2024,5,5,0.2
2024,5,6,0
2024,5,7,0
2024,5,8,1
2024,5,9,0.6
2024,5,10,22
2024,5,11,3
2024,5,12,0.4
2024,5,13,0.6
2024,5,14,0.8
2024,5,15,0
2024,5,16,0
2024,5,17,1.6
2024,5,18,2.8
2024,5,19,0.2
2024,5,20,0.2
2024,5,21,0
2024,5,22,1.4
2024,5,23,0
2024,5,24,3
2024,5,25,0
2024,5,26,0
2024,5,27,0
2024,5,28,0
2024,5,29,0.2
2024,5,30,0
2024,5,31,0
2024,6,1,0
2024,6,2,0
2024,6,3,1.6
2024,6,4,4.4
2024,6,5,0
2024,6,6,0.4
2024,6,7,0.4
2024,6,8,0
2024,6,9,0
2024,6,10,0.2
2024,6,11,0
2024,6,12,4.6
2024,6,13,0.4
2024,6,14,0.6
2024,6,15,2.8
2024,6,16,0
2024,6,17,0.6
2024,6,18,1.2
2024,6,19,0.2
2024,6,20,1
2024,6,21,2.6
2024,6,22,0
2024,6,23,0.2
2024,6,24,0
2024,6,25,0
2024,6,26,0
2024,6,27,1
2024,6,28,0
2024,6,29,0
2024,6,30,4.4
2024,7,1,0.4
2024,7,2,0
2024,7,3,0
2024,7,4,0
2024,7,5,0
2024,7,6,0
2024,7,7,0
2024,7,8,0
2024,7,9,0.8
2024,7,10,24
2024,7,11,0
2024,7,12,0
2024,7,13,0
2024,7,14,0
2024,7,15,16.8
2024,7,16,7.2
2024,7,17,3.6
2024,7,18,0.4
2024,7,19,0
2024,7,20,0
2024,7,21,0
2024,7,22,0
2024,7,23,0
2024,7,24,0
2024,7,25,0
2024,7,26,0
2024,7,27,0
2024,7,28,0
2024,7,29,0.6
2024,7,30,0
2024,7,31,0.2
2024,8,1,1.2
2024,8,2,0.2
2024,8,3,0
2024,8,4,0.2
2024,8,5,0.2
2024,8,6,0
2024,8,7,0.4
2024,8,8,0
2024,8,9,0
2024,8,10,0
2024,8,11,0
2024,8,12,0
2024,8,13,0
2024,8,14,0
2024,8,15,1.2
2024,8,16,2
2024,8,17,3.4
2024,8,18,3.4
2024,8,19,0
2024,8,20,0
2024,8,21,2
2024,8,22,0
2024,8,23,0
2024,8,24,7.4
2024,8,25,4.4
2024,8,26,0
